time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-29T23:04:02.965Z,15.2785,-93.1138,104.665,4.8,mb,142,127,1.371,0.91,us,us7000il8g,2023-01-12T23:10:34.040Z,"19 km SSE of La Esperanza (El Zapotal), Mexico",earthquake,7.16,6.65,0.049,129,reviewed,us,us
2022-10-27T14:02:07.035Z,16.2819,-99.0344,10,4.9,mb,43,164,1.35,1.01,us,us7000ikpu,2023-01-03T15:23:42.040Z,"36 km S of Copala, Mexico",earthquake,8.76,1.937,0.035,264,reviewed,us,us
2022-10-27T08:45:24.985Z,16.3235,-98.9935,11.217,5,mww,109,96,1.298,0.56,us,us7000ikml,2023-01-03T15:23:41.040Z,"31 km S of Copala, Mexico",earthquake,8.67,4.229,0.048,41,reviewed,us,us
2022-10-19T16:41:47.292Z,19.521,-109.2661,10,4.6,mb,119,96,1.729,0.66,us,us6000iuwj,2022-12-31T23:03:39.040Z,"Revilla Gigedo Islands region",earthquake,6.67,1.844,0.039,197,reviewed,us,us
2022-10-17T20:53:22.585Z,19.7079,-109.258,10,4.6,mb,69,122,6.944,0.92,us,us6000iuen,2022-12-31T23:03:37.040Z,"Revilla Gigedo Islands region",earthquake,8.9,1.017,0.031,310,reviewed,us,us
2022-10-14T23:28:04.783Z,16.8415,-98.3787,35,4.9,mb,349,80,0.739,0.58,us,us6000ittg,2022-12-17T22:54:14.040Z,"3 km NE of San Cristóbal, Mexico",earthquake,7.18,1.827,0.025,500,reviewed,us,us
2022-10-13T11:46:17.837Z,18.6868,-102.8157,67.213,4.7,mb,77,78,0.64,1.03,us,us6000it9k,2022-12-17T22:54:00.040Z,"6 km SSW of Aguililla, Mexico",earthquake,5.21,5.603,0.043,162,reviewed,us,us
2022-10-10T07:49:45.858Z,22.2298,-93.9982,10,4.5,mb,130,51,3.873,0.55,us,us6000isf9,2022-12-17T22:53:48.040Z,"Gulf of Mexico",earthquake,6.34,1.693,0.039,194,reviewed,us,us
2022-10-02T19:00:22.031Z,23.4994,-108.9089,10,5.7,mww,57,130,0.968,0.51,us,us6000iq9e,2022-12-10T22:52:49.040Z,"69 km E of La Rivera, Mexico",earthquake,9,1.863,0.037,72,reviewed,us,us
2022-10-01T16:36:49.716Z,14.9867,-94.0236,22.848,5.5,mww,203,87,2.228,0.8,us,us6000iq0y,2022-12-10T22:52:34.040Z,"102 km SSW of Manuel Ávila Camacho (Ponte Duro), Mexico",earthquake,6.99,4.319,0.06,27,reviewed,us,us
2022-09-30T18:18:07.036Z,15.1866,-94.3682,30.667,4.6,mb,78,114,1.222,0.87,us,us6000ipr9,2022-12-03T22:02:54.040Z,"104 km SW of Cabeza de Toro, Mexico",earthquake,6.42,6.202,0.058,95,reviewed,us,us
