time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-25T01:00:49.643Z,37.5882,141.6818,52.61,4.9,mww,107,54,2.968,0.59,us,us6000jj1u,2023-04-11T18:51:29.040Z,"61 km E of Namie, Japan",earthquake,7.14,4.534,0.098,10,reviewed,us,us
2023-01-20T18:05:41.219Z,37.7473,141.566,61.691,4.5,mb,148,98,2.94,0.56,us,us7000j5vu,2023-03-31T19:45:44.040Z,"57 km ENE of Namie, Japan",earthquake,7.32,6.008,0.051,122,reviewed,us,us
2023-01-20T05:48:28.582Z,38.9239,142.1003,47.894,5,mb,187,128,2.027,0.85,us,us7000j5pu,2023-03-31T19:45:39.040Z,"37 km ESE of ?funato, Japan",earthquake,7.73,6.169,0.044,164,reviewed,us,us
2023-01-19T03:25:23.797Z,33.7343,137.2383,11.162,4.5,mb,39,87,1.224,0.63,us,us7000j5ep,2023-03-31T19:45:20.040Z,"90 km SSE of Toba, Japan",earthquake,4.87,3.366,0.144,14,reviewed,us,us
2023-01-15T16:25:27.414Z,41.165,142.3275,56.74,4.8,mb,66,126,1.027,0.8,us,us7000j4jn,2023-03-31T19:44:25.040Z,"94 km E of Mutsu, Japan",earthquake,6.13,5.981,0.051,120,reviewed,us,us
2023-01-14T23:30:48.136Z,39.8623,143.0784,31.152,4.5,mb,22,217,1.797,0.89,us,us7000j6dh,2023-03-20T06:04:06.040Z,"100 km ENE of Miyako, Japan",earthquake,4.64,9.247,0.242,5,reviewed,us,us
2023-01-11T16:19:38.252Z,35.3383,141.0673,25.83,4.9,mb,114,114,2.449,0.65,us,us7000j3nl,2023-03-20T06:03:22.040Z,"48 km SSE of Hasaki, Japan",earthquake,7.63,4.499,0.062,80,reviewed,us,us
2023-01-08T01:16:26.095Z,37.0889,141.4075,42.747,4.6,mb,69,120,2.624,0.64,us,us7000j2vx,2023-03-20T06:02:55.040Z,"46 km E of Iwaki, Japan",earthquake,7.28,6.225,0.05,119,reviewed,us,us
2023-01-07T14:42:38.037Z,37.48,141.643,47.681,4.7,mb,38,120,2.904,0.57,us,us7000j2td,2023-03-11T22:51:45.040Z,"near the east coast of Honshu, Japan",earthquake,8.79,6.991,0.099,31,reviewed,us,us
2023-01-06T22:27:29.832Z,42.1719,144.9987,35,4.5,mb,93,117,1.379,0.71,us,us7000j2nv,2023-03-11T22:51:43.040Z,"",earthquake,8.04,1.823,0.069,62,reviewed,us,us
2023-01-06T04:44:03.427Z,37.4215,137.1761,10,4.8,mb,66,67,1.201,0.84,us,us7000j2gw,2023-03-11T22:51:42.040Z,"45 km NNE of Nanao, Japan",earthquake,5.65,1.8,0.049,131,reviewed,us,us
2023-01-03T07:08:35.706Z,40.2108,142.6435,35,5.1,mww,112,102,1.336,0.84,us,us7000j1s3,2023-03-11T22:51:34.040Z,"86 km NE of Miyako, Japan",earthquake,6.55,1.814,0.083,14,reviewed,us,us
