FOLIO,SEXO,EDAD,CARRERA,ZONA_PERTENENCIA ,CUBREBOCAS_NECESARIO,OBLIGACION_NECESIDAD,CUBREBOCAS_TRANSPORTE,COVID_PROTEGE,CASO_COVID,FACTOR_NO_USO,EFECTO_ECONOMIA,VACUNA_PROTEGE
204,2,20,4,1,2,2,1,1,1,4,1,2
205,2,20,4,1,1,1,1,1,2,3,1,2
206,1,22,4,2,1,2,1,1,2,4,1,2
207,1,20,4,2,1,1,1,1,2,1,1,2
208,1,22,4,1,1,1,1,2,2,4,1,2
209,2,21,5,1,2,1,1,2,2,4,1,1
210,1,22,5,1,2,1,1,2,2,4,2,1
211,1,21,5,1,2,1,1,2,2,2,2,1
212,2,20,5,1,2,1,1,2,2,4,1,1
213,2,21,5,1,1,1,1,1,2,4,1,1
214,1,21,5,1,1,1,1,2,2,4,2,1
215,2,21,5,1,1,1,1,2,2,4,1,2
216,1,22,5,1,1,1,1,2,2,4,2,1
217,2,21,5,1,2,1,1,2,2,2,1,1
218,1,18,5,1,1,2,1,1,2,4,2,1
219,1,21,5,1,1,1,1,2,2,3,1,1
220,1,21,5,1,1,1,1,1,1,4,1,1
221,1,21,5,1,1,2,1,1,2,3,2,2
222,1,20,5,1,1,1,1,2,2,4,1,2
223,1,21,5,1,1,1,1,2,1,3,1,1
224,1,20,5,1,1,2,1,2,1,3,2,2
225,1,18,5,1,1,1,1,1,2,1,1,2
226,2,18,5,2,1,2,1,2,2,3,1,2
227,1,18,5,2,1,1,1,1,2,3,1,2
228,1,18,5,1,1,2,1,1,2,4,2,2
229,1,17,5,2,1,1,1,1,2,3,1,2
230,1,18,5,1,1,1,1,1,2,4,1,2
231,2,18,5,2,1,2,1,2,2,4,1,2
232,1,19,5,2,1,1,1,1,2,4,1,2
233,1,20,5,1,2,1,1,2,2,3,1,1
234,1,18,5,2,1,2,1,2,2,4,1,1
235,1,20,5,2,1,1,1,1,2,4,2,2
236,1,18,5,2,1,2,1,1,2,3,1,2
237,1,18,5,1,1,2,1,1,2,3,2,1
238,2,18,5,2,1,2,1,1,2,3,1,2
239,2,19,5,1,1,1,1,1,2,3,1,2
240,2,19,5,1,2,1,1,1,2,1,3,1
241,2,18,5,1,1,2,1,1,2,4,1,1
242,2,18,5,1,1,1,1,1,2,4,1,1
243,2,18,5,1,1,2,1,2,2,1,1,1
244,1,19,5,1,1,2,1,1,2,3,1,2
245,1,18,5,1,1,2,1,1,2,4,1,2
246,1,20,5,2,1,2,1,2,2,4,1,2
247,1,19,5,2,2,1,1,1,2,4,1,1
248,1,17,5,1,1,2,1,1,2,4,1,2
249,2,18,5,2,1,2,1,1,2,4,1,2
250,2,17,5,1,1,1,1,1,2,4,1,2
251,1,20,5,1,1,2,1,1,2,4,1,2
252,1,19,5,1,1,2,1,1,2,4,1,1
253,2,18,5,1,1,1,1,1,2,4,1,2
254,1,19,5,1,1,2,1,1,2,3,1,2
255,1,18,5,1,2,1,1,2,2,3,1,1
256,1,26,5,1,1,1,1,1,2,3,1,2
257,1,20,5,2,1,1,1,1,2,3,1,1
258,1,19,5,2,1,2,1,2,2,4,1,1
259,1,21,5,1,1,1,1,2,2,3,1,1
260,2,19,5,1,1,1,1,1,2,4,1,2
261,2,19,6,1,1,2,1,2,2,3,1,2
262,2,20,6,1,1,1,1,2,2,4,1,1
263,2,19,6,1,1,2,1,1,2,3,1,2
264,1,21,6,1,2,1,1,2,2,3,1,2
265,1,23,6,1,1,1,1,2,2,3,1,2
266,1,26,6,1,1,2,1,1,2,4,2,2
267,1,18,6,1,1,2,1,2,2,3,1,2
268,2,18,6,1,1,1,1,1,2,4,1,2
269,2,17,6,1,1,2,1,1,2,4,1,2
270,1,18,6,1,1,2,1,1,2,3,2,2
271,1,18,6,1,1,2,1,1,2,4,1,1
272,2,24,6,1,1,2,1,1,2,2,1,2
273,1,18,6,2,1,2,1,1,2,3,1,2
274,2,19,6,1,1,2,1,1,2,3,1,2
275,1,17,6,2,1,1,1,1,2,3,1,2
276,2,18,6,1,1,1,1,2,2,4,1,2
277,1,22,6,1,1,1,1,1,2,1,1,2
278,1,17,6,1,1,2,1,1,2,3,1,2
279,1,20,6,2,1,1,1,1,2,3,1,2
280,2,18,6,1,1,2,1,2,2,4,1,2
281,1,19,6,1,1,2,1,1,2,4,1,2
282,1,19,6,1,1,2,1,1,2,3,1,2
283,1,19,6,1,1,2,1,1,2,3,1,2
284,2,19,6,2,1,1,1,1,2,3,1,2
285,2,19,6,1,1,1,1,2,1,3,1,1
286,2,19,6,1,2,1,1,2,2,4,1,1
287,2,19,6,1,1,1,1,1,2,3,1,2
288,1,19,6,1,1,1,1,1,2,4,1,1
289,1,19,6,1,1,1,1,2,1,3,1,1
290,1,20,6,2,1,1,1,2,2,3,1,2
291,1,18,6,1,1,2,1,2,2,4,1,2
292,1,19,6,1,1,2,2,2,2,4,1,2
293,1,19,6,1,1,2,1,2,2,3,2,2
294,2,19,6,1,1,2,2,1,2,4,1,1
295,2,18,6,2,1,1,2,2,2,4,1,1
296,2,23,6,1,2,1,2,2,2,4,1,1
297,1,19,6,1,1,2,1,1,2,4,1,2
298,1,19,6,1,1,1,1,1,2,3,1,2
299,2,19,6,1,1,1,1,1,2,3,3,1
300,1,20,6,1,2,1,1,1,2,3,1,1
301,2,19,6,1,1,2,1,1,2,3,1,1
302,1,19,6,1,1,1,1,1,2,4,1,2
303,2,21,6,1,1,1,1,1,2,4,1,1
304,1,19,6,2,2,1,1,1,2,1,1,1
305,1,18,6,1,1,2,1,2,2,2,1,2
306,1,19,6,1,1,1,1,1,2,3,2,2
307,2,26,7,1,1,1,1,1,2,4,1,2
