"","","Nombre","Nacionalidad","Fecha de nacimiento","Edad","Creado por","Fecha de nombramiento","Titulus","Cargo"
"41",41,"Lluís Martínez Sistach","España España","29/04/1937","85 años","Benedicto XVI","24/11/2007","Cardenal presbítero de San Sebastián de las Catacumbas","Arzobispo emérito de Barcelona"
"42",42,"Renato Raffaele Martino","Italia Italia","23/11/1932","89 años","Juan Pablo II","21/03/2003","Cardenal diácono de San Francisco de Paula en Monti","Cardenal protodiácono de la Santa Iglesia Romana
Presidente emérito del Pontificio Consejo para la Justicia y la Paz y presidente emérito del Pontificio Consejo para la Pastoral de los Emigrantes e Itinerantes"
"43",43,"Edoardo Menichelli","Italia Italia","14/10/1939","82 años","Francisco","14/02/2015","Cardenal presbítero de Sagrados Corazones de Jesús y María en Tor Fiorenza","Arzobispo emérito de Ancona-Osimo"
"44",44,"Manuel Monteiro de Castro","Portugal","29/03/1938","84 años","Benedicto XVI","18/02/2012","Cardenal presbítero pro hac vice de Santo Domingo de Guzmán","Penitenciario Mayor emérito de la Penitenciaría apostólica"
"45",45,"Francesco Monterisi","Italia Italia","28/05/1934","88 años","Benedicto XVI","20/11/2010","Cardenal presbítero de San Pablo en Regola pro hac vice","Arcipreste emérito de la Basílica de San Pablo Extramuros"
"46",46,"Lucian Mureșan","RumaniaRumania","23/05/1931","91 años","Benedicto XVI","18/02/2012","Cardenal presbítero de San Atanasio","Arzobispo mayor de Fagaras y Alba Julia de los Rumanos (Iglesia greco-católica rumana)"
"47",47,"Wilfrid Fox Napier, O.F.M.","Sudáfrica","08/03/1941","81 años","Juan Pablo II","21/02/2001","Cardenal presbítero de San Francisco de Asís en Acilia","Arzobispo emérito de Durban"
"48",48,"Pierre Nguyên Văn Nhon","Vietnam Vietnam","01/04/1938","84 años","Francisco","14/02/2015","Cardenal presbítero de Santo Tomás Apóstol","Arzobispo emérito de Hà Nôi"
"49",49,"Edwin Frederick O'Brien","Estados Unidos","08/04/1939","83 años","Benedicto XVI","18/02/2012","Cardenal presbítero pro hac vice de San Sebastián en Palatino","Gran Maestre emérito de la Orden del Santo Sepulcro de Jerusalén"
"50",50,"Anthony Olubunmi Okogie","Nigeria Nigeria","16/06/1936","86 años","Juan Pablo II","21/10/2003","Cardenal presbítero de Beata Virgen María del Monte Carmelo en Mostacciano","Arzobispo emérito de Lagos"
"51",51,"George Pell","Australia","08/06/1941","81 años","Juan Pablo II","21/10/2003","Cardenal presbítero de Santa María Dominga Mazzarello","Prefecto emérito de la Secretaría de Economía"
"52",52,"Jean-Baptiste Pham Minh Mân","Vietnam Vietnam","05/04/1934","88 años","Juan Pablo II","21/10/2003","Cardenal presbítero de San Justino","Arzobispo emérito de Hô Chí Minh"
"53",53,"Maurice Piat, C.S.Sp.","Mauricio","19/07/1941","81 años","Francisco","19/11/2016","Cardenal presbítero en Santa Teresa en Corso d'Italia","Obispo de Port-Louis
Presidente de la Conferencia Episcopal del Océano Índico (CEDOI)"
"54",54,"Severino Poletto","Italia Italia","18/03/1933","89 años","Juan Pablo II","21/02/2001","Cardenal presbítero pro hac vice de San José en Via Trionfale","Arzobispo emérito de Turín"
